1; Bahan Dan Alat Abu batu ;5;220500
2; Bahan Dan AlatAir ;3;10
3; Bahan Dan Alat Alat Pompa ( alcone ) 5,5 PK ;10;7750000
4; Bahan Dan Alat Aluminium foil ;9;15800
5; Bahan Dan Alat Aluminium strip ;9;8900
6; Bahan Dan Alat Amplas besi/kayu ;41;4500
7; Bahan Dan Alat Asbes Bumbungan  ;9;36000
8; Bahan Dan Alat Asbes gelombang besar (1 m x 2 m) ;41;126000
9; Bahan Dan Alat Asbes gelombang kecil (1 m x 1,2 m) ;41;119700
10; Bahan Dan Alat Aspal curah ;1;13000
11; Bahan Dan Alat Aspal Pen. 60/70 (kemasan drum) ;1;14200
12; Bahan Dan Alat Atap galvalum & laminasi ;9;107500
13; Bahan Dan Alat Atap galvalum tebal 0,3 ;9;54000
14; Bahan Dan Alat Atap kerpus onduline ;61;100800
15; Bahan Dan Alat Atap kerpus metalroof  ;41;37800
16; Bahan Dan Alat Atap metalroof nonpasir ;41;75600
17; Bahan Dan Alat Atap metalroof pasir ;41;119700
18; Bahan Dan Alat Atap onduline ;41;189000
19; Bahan Dan Alat Automatic water level ;18;1984500
20; Bahan Dan Alat Avour stanlis ;10;75600
21; Bahan Dan Alat Baja konstruksi ;1;17100
22; Bahan Dan Alat Bambu apus 4 meter ;11;12600
23; Bahan Dan Alat Bambu ori 4 meter ;11;22100
24; Bahan Dan Alat Bataco ;10;3800
25; Bahan Dan Alat Batu andesit ;9;220500
26; Bahan Dan Alat Batu bata merah ;10;900
27; Bahan Dan Alat Batu blondos ;5;157500
28; Bahan Dan Alat Batu candi ;9;113400
29; Bahan Dan Alat Batu Kali ;5;308700
30; Bahan Dan Alat Batu Kambang/apung ;1;13900
31; Bahan Dan Alat Batu lempeng  ;9;81900
32; Bahan Dan Alat Batu muka ;10;2500
33; Bahan Dan Alat Batu palimanan ;9;144900
34; Bahan Dan Alat Batu paras ;9;126000
35; Bahan Dan Alat Batu pecah 1/2/1 cm (mesin/cruser) ;5;327600
36; Bahan Dan Alat Batu pecah 1/2 cm (mesin/cruser) ;5;324500
37; Bahan Dan Alat Batu pecah 2/3 cm/split (mesin/cruser) ;5;321300
38; Bahan Dan Alat Batu Pecah 2/3 cm ;5;318200
39; Bahan Dan Alat Batu pecah 3/5 cm (mesin/cruser) ;5;318200
40; Bahan Dan Alat Batu Pecah 3/5 cm ;5;317600
41; Bahan Dan Alat Batu Pecah 5/7 cm ;5;316300
42; Bahan Dan Alat Batu Pecah 10/15 cm ;5;315000
43; Bahan Dan Alat Batu Pecah 15/20 cm ;5;311900
44; Bahan Dan Alat Baut baja ;1;31500
45; Bahan Dan Alat Benang kenur ;50;3100
46; Bahan Dan Alat Besi Beton ;1;13900
47; Bahan Dan Alat Besi hollow 1,8/3,8 cm t:0,3 ;6;5700
48; Bahan Dan Alat Besi hollow 3,8/3,8 cm t:0,3 ;6;9500
49; Bahan Dan Alat Besi profil siku ;1;22100
50; Bahan Dan Alat Besi teralis strip plat ;1;19600
51; Bahan Dan Alat Buisbeton 1/2 d. 20 cm pj. 1  m ;10;31500
52; Bahan Dan Alat Buisbeton  1/2 d. 30 cm pj. 1  m ;10;41000
53; Bahan Dan Alat Buisbeton  d. 20 cm pj. 1  m ;10;41000
54; Bahan Dan Alat Buisbeton d. 30 cm pj. 1  m ;10;59900
55; Bahan Dan Alat Buisbeton d. 40 cm pj. 1  m ;10;63000
56; Bahan Dan Alat Buisbeton d. 50 cm pj. 1  m ;10;88200
57; Bahan Dan Alat Buisbeton d. 60 cm pj. 1  m ;10;100800
58; Bahan Dan Alat Buisbeton d. 80 cm pj. 0,5  m ;10;107100
59; Bahan Dan Alat Buisbeton d. 100 cm pj. 0,5  m ;10;157500
60; Bahan Dan Alat Calseboard 1 x 1 meter persegi tebal 3 mm ;41;21500
61; Bahan Dan Alat Cangkul ;10;193750
62; Bahan Dan Alat Cat besi ;1;63000
63; Bahan Dan Alat Cat kayu (dalam/luar) ;1;63000
64; Bahan Dan Alat Cat meni besi ;1;31500
65; Bahan Dan Alat Cat meni kayu ;1;31500
66; Bahan Dan Alat Cat tembok (dalam) ;1;28400
67; Bahan Dan Alat Cat tembok (luar) ;1;157500
68; Bahan Dan Alat Check valve  diameter 1.5 inci ;10;1575000
69; Bahan Dan Alat Cikrak bambu ;10;31000
70; Bahan Dan Alat Closet duduk ex. INA/American Standard ;10;1701000
71; Bahan Dan Alat Closet duduk ex. Toto ;10;2300000
72; Bahan Dan Alat Closet duduk monoblock ;10;1260000
73; Bahan Dan Alat Closet jongkok  ;10;126000
74; Bahan Dan Alat Closet jongkok ex.  INA/American Standard ;10;189000
75; Bahan Dan Alat Daun pintu alminium coklat ;10;1500000
76; Bahan Dan Alat Daun pintu alminium putih ;10;1300000
77; Bahan Dan Alat Dempul/plamur/wood filler ;1;20200
78; Bahan Dan Alat Down light 4 inci ;10;37800
79; Bahan Dan Alat Dunak bambu ;10;19500
80; Bahan Dan Alat Ember plastik ;10;11000
81; Bahan Dan Alat Emergency light ;10;500000
82; Bahan Dan Alat Engsel jendela biasa ;10;7600
83; Bahan Dan Alat Engsel jendela sedang ;10;9500
84; Bahan Dan Alat Engsel jendela super ;10;15800
85; Bahan Dan Alat Engsel pintu biasa ;10;8200
86; Bahan Dan Alat Engsel pintu sedang ;10;13000
87; Bahan Dan Alat Engsel pintu super ;10;16700
88; Bahan Dan Alat  Eternit asbes 1 x 1 meter persegi  ;41;12600
89; Bahan Dan Alat  Fiber glass (bak air) 0,50 m3 ;10;378000
90; Bahan Dan Alat  Fiber glass (bak air) 1,00 m3 ;10;1008000
91; Bahan Dan Alat  Fitting Porselin ;10;9500
92; Bahan Dan Alat  Flang Steel  diameter 2 inci ;10;75600
93; Bahan Dan Alat  Floor drain ;10;75600
94; Bahan Dan Alat Folding Gate tebal 0,04 mm ;9;693000
95; Bahan Dan Alat Folding Gate tebal 0,06 mm ;9;819000
96; Bahan Dan Alat Folding Gate tebal 0,08 mm ;9;945000
97; Bahan Dan Alat Folding Gate tebal 1,20 mm ;9;1260000
98; Bahan Dan Alat  Gancu ;10;116500
99; Bahan Dan Alat Garuk Sampah ;10;93000
100; Bahan Dan Alat Genteng Ex. Mojolaban / Mantili ;10;2300
101; Bahan Dan Alat Genteng ex. Mojolaban/Mantili ;10;7600
102; Bahan Dan Alat Genteng keramik setara M-Class ;10;12000
103; Bahan Dan Alat Genteng kerpus Ex. Mojolaban ;10;7600
104; Bahan Dan Alat Genteng kerpus glasur Jatiwangi ;10;12000
105; Bahan Dan Alat Genteng kerpus glasur Kebumen ;10;11400
106; Bahan Dan Alat Genteng kerpus Jatiwangi ;10;10100
107; Bahan Dan Alat Genteng kerpus keramik ;10;18900
108; Bahan Dan Alat Genteng kerpus keramik setara M-Class ;10;18900
109; Bahan Dan Alat Genting Beton ;10;5100
110; Bahan Dan Alat Genting Glasur Jatiwangi ;10;6000
111; Bahan Dan Alat Genting Glasur Kebumen ;10;8200
112; Bahan Dan Alat Genting Keramik ;10;12600
113; Bahan Dan Alat Genting Krepus Kebumen ;10;10100
114; Bahan Dan Alat Genting Krepus Polintong ;10;10000
115; Bahan Dan Alat Genting kerpus beton ;10;7600
116; Bahan Dan Alat Genting Magas Kebumen ;10;3500
117; Bahan Dan Alat Genting Morando Jatiwangi  ;10;5000
118; Bahan Dan Alat Genting Morando Kebumen  ;10;5100
119; Bahan Dan Alat Genting Polintong Lokal ;10;1500
120; Bahan Dan Alat Granit tile 40 x 40 cm warna muda ;9;280000
121; Bahan Dan Alat Granit tile 40 x 40 cm warna tua ;9;300000
122; Bahan Dan Alat Granit tile 60 x 60 cm warna muda ;9;135500
123; Bahan Dan Alat Granit tile 60 x 60 cm warna tua ;9;335200
124; Bahan Dan Alat Granit tile 80 x 80 cm warna muda ;9;252000
125; Bahan Dan Alat Granit tile 80 x 80 cm warna tua ;9;409500
126; Bahan Dan Alat Granit tile 100 x 100 cm warna muda ;9;504000
127; Bahan Dan Alat Granit tile 100 x 100 cm warna tua ;9;630000
128; Bahan Dan Alat Granit 100 x 100 (batu Granit) ;9;1008000
129; Bahan Dan Alat Kabel listrik 1,50 mm ;6;5700
130; Bahan Dan Alat Kabel listrik 2,50 mm ;6;7000
131; Bahan Dan Alat Kabel power ;18;2079000
132; Bahan Dan Alat Kaca bening 3 mm ;9;88200
133; Bahan Dan Alat Kaca bening 5 mm ;9;94500
134; Bahan Dan Alat Kaca bening 6 mm ;9;100800
135; Bahan Dan Alat Kaca bening 8 mm ;9;113400
136; Bahan Dan Alat Kaca es 5 mm ;9;107100
137; Bahan Dan Alat Kaca naco daun bening ;9;120000
138; Bahan Dan Alat Kaca rayben 5 mm ;9;100800
139; Bahan Dan Alat Kaca tempered 12 mm + komplit ;18;8190000
140; Bahan Dan Alat Kaca framelist 8 mm ;18;630000
141; Bahan Dan Alat Kanstein beton ;10;36600
142; Bahan Dan Alat Kapur Pasang ;5;283500
143; Bahan Dan Alat Karpet biasa ;9;63000
144; Bahan Dan Alat Karpet tebal ;9;107100
145; Bahan Dan Alat Kawat bendrat ;1;27800
146; Bahan Dan Alat Kawat bronjong ;1;13900
147; Bahan Dan Alat Kawat D 4 mm ;1;20800
148; Bahan Dan Alat Kawat duri (30 meter ) ;50;567000
149; Bahan Dan Alat Kawat harmonika ;9;31000
150; Bahan Dan Alat Kawat las listrik (lastok) ;1;27800
151; Bahan Dan Alat Kawat saringan pasir ;9;19750
152; Kawur/ kapur Pasang ;5;283500
153; Bahan Dan Alat Kayu bakar ;1;1400
154; Bahan Dan Alat Kayu bangkiray balok ;5;13860000
155; Bahan Dan Alat Kayu bangkiray papan ;5;15750000
156; Bahan Dan Alat Kayu begesting/sengon ;5;1638000
157; Bahan Dan Alat Kayu begesting steiger/dolken 4  m ;10;11400
158; Bahan Dan Alat Kayu dudukan Fitting ;10;5100
159; Bahan Dan Alat Kayu jati hutan untuk rangka atap  ;5;20000000
160; Bahan Dan Alat Kayu jati hutan untuk kusen ;5;22500000
161; Bahan Dan Alat Kayu jati lokal untuk kusen ;5;14500000
162; Bahan Dan Alat Kayu jati lokal untuk rangka atap ;5;17500000
163; Bahan Dan Alat Kayu jati untuk konstruksi jembatan ;5;30000000
164; Bahan Dan Alat Kayu jati untuk perquet ;9;400000
165; Bahan Dan Alat Kayu kamper balok ;5;11970000
166; Bahan Dan Alat Kayu kamper papan ;5;13230000
167; Bahan Dan Alat Kayu kruing balok ;5;7560000
168; Bahan Dan Alat Kayu kruing papan ;5;8190000
169; Bahan Dan Alat Kayu list profil ;6;9500
170; Bahan Dan Alat Kayu meranti 5/7 ;5;6615000
171; Bahan Dan Alat Kayu meranti papan 30 cm  ;5;7245000
172; Bahan Dan Alat Kayu meranti reng 2/3 ;5;4032000
173; Bahan Dan Alat Kayu sengon papan  ;5;2520000
174; Bahan Dan Alat Kayu perancah ;5;1575000
175; Bahan Dan Alat Kayu sengon kaso 5/7 ;5;2205000
176; Bahan Dan Alat Kayu sirap  ;48;157500
177; Bahan Dan Alat Keramik 20 x 20 ;9;63000
178; Bahan Dan Alat Keramik 20 x 25 dinding ;9;56100
179; Bahan Dan Alat Keramik 30 x 30 eksterior texture ;9;75600
180; Bahan Dan Alat Keramik 30 x 30 polos ;9;53600
181; Bahan Dan Alat Keramik 30 x 30 warna motif  ;9;63000
182; Bahan Dan Alat Keramik 30 x 60 dinding ;9;110300
183; Bahan Dan Alat Keramik 40 x 40 ( Platinum ) ;9;74300
184; Bahan Dan Alat Keramik 40 x 40 eksterior texture ;9;95100
185; Bahan Dan Alat Keramik 40 x 40 polos ;9;69300
186; Bahan Dan Alat Keramik 40 x 40 warna motif  ;9;80400
187; Bahan Dan Alat Kerikil Sungai di quary ;5;28400
188; Bahan Dan Alat Knie Galvanis  diameter 2 inci - 90º dan 45º ;10;37800
189; Bahan Dan Alat Kran Air  diameter 1 inci ( biasa ) ;10;20800
190; Bahan Dan Alat Kran Air  diameter 1 inci ( sedang ) ;10;34700
191; Bahan Dan Alat Kran Air  diameter 1 inci  ( super ) ;10;69300
192; Bahan Dan Alat Kran Air  diameter 3/4 inci ( biasa ) ;10;25200
193; Bahan Dan Alat Kran Air  diameter 3/4 inci ( sedang ) ;10;32200
194; Bahan Dan Alat Kran Air  diameter 3/4 inci  ( super ) ;10;78800
195; Bahan Dan Alat Kran Air  diameter 1/2 inci ( biasa ) ;10;22100
196; Bahan Dan Alat Kran Air  diameter 1/2 inci ( sedang ) ;10;37800
197; Bahan Dan Alat Kran Air  diameter 1/2 inci ( super ) ;10;56700
198; Bahan Dan Alat Kran tipe handle  diameter 3/4 inci ;10;50400
199; Bahan Dan Alat Kusen Almunium coklat 4 inci ;6;119700
200; Bahan Dan Alat Kusen aluminium coklat 3 inci ;6;88200
201; Bahan Dan Alat Kusen aluminium motif kayu 4 inci ;6;176400
202; Bahan Dan Alat Kusen Almunium putih 4 inci ;6;126000
203; Bahan Dan Alat Kusen aluminium silver 4 inci ;6;100800
204; Bahan Dan Alat Kusen aluminium silver 3 inci ;6;81900
205; Bahan Dan Alat Kuwas 4 inci ;10;17100
206; Bahan Dan Alat Lampu SL 18 watt ;10;44100
207; Bahan Dan Alat Lampu SL 20 watt ;10;47300
208; Bahan Dan Alat Lampu  TL 20 watt komplit ;10;63000
209; Bahan Dan Alat Lem kayu ;1;15800
210; Bahan Dan Alat Lem kayu putih ex. Fox ;1;15200
211; Bahan Dan Alat Lem kuning ex. Aica Aibon ;1;69300
212; Bahan Dan Alat Lem wallpaper ;1;69300
213; Bahan Dan Alat Linggis ;10;108500
214; Bahan Dan Alat List Profil Gypsum ;9;15200
215; Bahan Dan Alat Marmer ex. import  ;9;3150000
216; Bahan Dan Alat Marmer ex. import Italy  ;9;1575000
217; Bahan Dan Alat Marmer Prasasti ;10;315000
218; Bahan Dan Alat Marmer Tulung Agung 30 x 30 cm  ;9;88200
219; Bahan Dan Alat Marmer Tulung Agung 40 x 40 cm ;9;107100
220; Bahan Dan Alat Marmer Tulung Agung 60 x 60 cm ;9;126000
221; Bahan Dan Alat Marmer Tulung Agung 80 x 80 cm ;9;252000
222; Bahan Dan Alat Marmer Tulung Agung 100 x 100 cm ;9;315000
223; Bahan Dan Alat Multiplex 4 mm  ;41;76900
224; Bahan Dan Alat Multiplex 6 mm  ;41;113400
225; Bahan Dan Alat Multiplex 8 mm  ;41;138600
226; Bahan Dan Alat Multiplex 9 mm  ;41;157500
227; Bahan Dan Alat Multiplek 12 mm ;41;189000
228; Bahan Dan Alat Marmer Nomen Klatur ;10;65000
229; Bahan Dan Alat P.C. ( 1 Zak = @ 40 kg ) ;1;1700
230; Bahan Dan Alat Pagar BRC ( ting. 0,9 m x pj. 2,4 m x d. 6 mm ) ;41;220500
231; Bahan Dan Alat Paku Eternit ;1;27800
232; Bahan Dan Alat Paku Pacing/skrup asbes/baut trip ;1;27800
233; Bahan Dan Alat Paku Pacing/skrup asbes/baut trip ;10;800
234; Bahan Dan Alat Paku reng ;1;17100
235; Bahan Dan Alat Paku sekrup ;1;28400
236; Bahan Dan Alat Paku sekrup ;10;200
237; Bahan Dan Alat Paku sekrup fisher/dynebolt/ramset ;10;6300
238; Bahan Dan Alat Paku sekrup onduline ;10;1100
239; Bahan Dan Alat Paku Triplek 2 cm ;1;27500
240; Bahan Dan Alat Paku Usuk / Reng ;1;17100
241; Bahan Dan Alat Panel Control lengkap ;18;5670000
242; Bahan Dan Alat Papan Nama Proyek ;10;380000
243; Bahan Dan Alat Parang ;10;65000
244; Bahan Dan Alat Pasang rangka atap baja ringan ;9;252000
245; Bahan Dan Alat Pasir Beton  ;5;352800
246; Bahan Dan Alat Pasir Pasang  ;5;315000
247; Bahan Dan Alat Pasir sirtu lokal ;5;189000
248; Bahan Dan Alat Pasir sirtu woro ;5;277200
249; Bahan Dan Alat Pasir Tras ;5;157500
250; Bahan Dan Alat Pasir Urug ;5;176400
251; Bahan Dan Alat Paving 6 cm K.175 (abu-abu) ;9;87000
252; Bahan Dan Alat Paving 6 cm K.175 (warna) ;9;93300
253; Bahan Dan Alat Paving 6 cm K.250 (abu-abu) ;9;96800
254; Bahan Dan Alat Paving 6 cm K.250 (warna)  ;9;103400
255; Bahan Dan Alat Paving 8 cm K.175 (abu-abu) ;9;103400
256; Bahan Dan Alat Paving 8 cm K.175 (warna) ;9;109700
257; Bahan Dan Alat Paving 8 cm K.250 (abu-abu) ;9;122300
258; Bahan Dan Alat Paving 8 cm K.250 (warna)  ;9;126000
259; Bahan Dan Alat Paving 8 cm K.300 (abu-abu) ;9;138600
260; Bahan Dan Alat Paving 8 cm K.300 (warna) ;9;144900
261; Bahan Dan Alat Paving tebal 6 cm (kotak) ;9;86700
262; Bahan Dan Alat Paving tebal 6 cm (segi enam) ;9;86700
263; Bahan Dan Alat Paving tebal 6 cm K. 225 ;9;90100
264; Bahan Dan Alat Paving tebal 8 cm K. 225 ;9;112200
